ID|Titel|Inhalt|Autor|Kategorie|Sentiment|Wortanzahl|Datum|Uhrzeit|Quelle|Shares
384|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|870.0|2024-11-06|16:30|ScienceToday|1900.0
385|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|602.0|2024-01-62|21:08|HealthWeekly|3200.0
386|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|532.0|2024-04-29|15:26|TechNews|2700.0
387|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1960|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|581.0|2024-04-29|11:30|FinanceDaily|4800.0
388|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|359.0|2024-01-62|10:58|CryptoTimes|3700.0
389|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1959|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
390|Die nächsten Trends im Sportbereich 1959|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-30|00:00|SportExpress|1600.0
391|Die Rolle der künstlichen Intelligenz in der Gesundheit 1959|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|473.0|2024-01-63|09:46|HealthWeekly|3400.0
392|Die nächsten Schritte in der Energiewende 1959|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|551.0|2024-04-30|08:16|EnergyReview|1600.0
393|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|671.0|2024-01-44|19:28|WorldPolitics|3300.0
394|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|790.0|2024-04-30|09:17|CryptoTimes|4900.0
395|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|871.0|2024-11-06|16:30|ScienceToday|1900.0
396|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|603.0|2024-01-63|21:08|HealthWeekly|3200.0
397|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|533.0|2024-04-01|15:26|TechNews|2700.0
398|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1958|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|582.0|2024-04-01|11:32|FinanceDaily|4800.0
399|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|360.0|2024-01-63|10:58|CryptoTimes|3700.0
400|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1957|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
401|Die nächsten Trends im Sportbereich 1957|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-31|00:00|SportExpress|1600.0
402|Die Rolle der künstlichen Intelligenz in der Gesundheit 1957|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|474.0|2024-01-64|09:46|HealthWeekly|3400.0
403|Die nächsten Schritte in der Energiewende 1957|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|552.0|2024-03-31|08:16|EnergyReview|1600.0
404|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|672.0|2024-01-45|19:28|WorldPolitics|3300.0
405|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|791.0|2024-03-31|09:17|CryptoTimes|4900.0
406|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|872.0|2024-11-06|16:30|ScienceToday|1900.0
407|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|604.0|2024-01-65|21:08|HealthWeekly|3200.0
408|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|534.0|2024-04-02|15:26|TechNews|2700.0
409|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1956|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|583.0|2024-04-02|11:34|FinanceDaily|4800.0
410|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|361.0|2024-01-65|10:58|CryptoTimes|3700.0
411|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1955|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
412|Die nächsten Trends im Sportbereich 1955|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-30|00:00|SportExpress|1600.0
413|Die Rolle der künstlichen Intelligenz in der Gesundheit 1955|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|475.0|2024-01-66|09:46|HealthWeekly|3400.0
414|Die nächsten Schritte in der Energiewende 1955|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|553.0|2024-03-30|08:16|EnergyReview|1600.0
415|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|673.0|2024-01-46|19:28|WorldPolitics|3300.0
416|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|792.0|2024-03-30|09:17|CryptoTimes|4900.0
417|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|873.0|2024-11-06|16:30|ScienceToday|1900.0
418|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|605.0|2024-01-67|21:08|HealthWeekly|3200.0
419|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|535.0|2024-04-03|15:26|TechNews|2700.0
420|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1954|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|584.0|2024-04-03|11:36|FinanceDaily|4800.0
421|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|362.0|2024-01-67|10:58|CryptoTimes|3700.0
422|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1953|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
423|Die nächsten Trends im Sportbereich 1953|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
424|Die Rolle der künstlichen Intelligenz in der Gesundheit 1953|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|476.0|2024-01-68|09:46|HealthWeekly|3400.0
425|Die nächsten Schritte in der Energiewende 1953|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|554.0|2024-03|08:16|EnergyReview|1600.0
426|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|674.0|2024-01-47|19:28|WorldPolitics|3300.0
427|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|793.0|2024-03|09:17|CryptoTimes|4900.0
428|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|874.0|2024-11-06|16:30|ScienceToday|1900.0
429|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|606.0|2024-01-69|21:08|HealthWeekly|3200.0
430|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|536.0|2024-04-04|15:26|TechNews|2700.0
431|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1952|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|585.0|2024-04-04|11:38|FinanceDaily|4800.0
432|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|363.0|2024-01-69|10:58|CryptoTimes|3700.0
433|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1951|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
434|Die nächsten Trends im Sportbereich 1951|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
435|Die Rolle der künstlichen Intelligenz in der Gesundheit 1951|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|477.0|2024-01-70|09:46|HealthWeekly|3400.0
436|Die nächsten Schritte in der Energiewende 1951|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|555.0|2024-03|08:16|EnergyReview|1600.0
437|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|675.0|2024-01-48|19:28|WorldPolitics|3300.0
438|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|794.0|2024-03|09:17|CryptoTimes|4900.0
439|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|875.0|2024-11-06|16:30|ScienceToday|1900.0
440|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|607.0|2024-01-71|21:08|HealthWeekly|3200.0
441|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|537.0|2024-04-05|15:26|TechNews|2700.0
442|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1950|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|586.0|2024-04-05|11:40|FinanceDaily|4800.0
443|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|364.0|2024-01-71|10:58|CryptoTimes|3700.0
444|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1949|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
445|Die nächsten Trends im Sportbereich 1949|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
446|Die Rolle der künstlichen Intelligenz in der Gesundheit 1949|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|478.0|2024-01-72|09:46|HealthWeekly|3400.0
447|Die nächsten Schritte in der Energiewende 1949|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|556.0|2024-03|08:16|EnergyReview|1600.0
448|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|676.0|2024-01-49|19:28|WorldPolitics|3300.0
449|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|795.0|2024-03|09:17|CryptoTimes|4900.0
450|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|876.0|2024-11-06|16:30|ScienceToday|1900.0
451|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|608.0|2024-01-73|21:08|HealthWeekly|3200.0
452|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|538.0|2024-04-06|15:26|TechNews|2700.0
453|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1948|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|587.0|2024-04-06|11:42|FinanceDaily|4800.0
454|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|365.0|2024-01-73|10:58|CryptoTimes|3700.0
455|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1947|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
456|Die nächsten Trends im Sportbereich 1947|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
457|Die Rolle der künstlichen Intelligenz in der Gesundheit 1947|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|479.0|2024-01-74|09:46|HealthWeekly|3400.0
458|Die nächsten Schritte in der Energiewende 1947|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|557.0|2024-03|08:16|EnergyReview|1600.0
459|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|677.0|2024-01-50|19:28|WorldPolitics|3300.0
460|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|796.0|2024-03|09:17|CryptoTimes|4900.0
461|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|877.0|2024-11-06|16:30|ScienceToday|1900.0
462|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|609.0|2024-01-75|21:08|HealthWeekly|3200.0
463|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|539.0|2024-04-07|15:26|TechNews|2700.0
464|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1946|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|588.0|2024-04-07|11:44|FinanceDaily|4800.0
465|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|366.0|2024-01-75|10:58|CryptoTimes|3700.0
466|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1945|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
467|Die nächsten Trends im Sportbereich 1945|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
468|Die Rolle der künstlichen Intelligenz in der Gesundheit 1945|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|480.0|2024-01-76|09:46|HealthWeekly|3400.0
469|Die nächsten Schritte in der Energiewende 1945|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|558.0|2024-03|08:16|EnergyReview|1600.0
470|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|678.0|2024-01-51|19:28|WorldPolitics|3300.0
471|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|797.0|2024-03|09:17|CryptoTimes|4900.0
472|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|878.0|2024-11-06|16:30|ScienceToday|1900.0
473|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|610.0|2024-01-77|21:08|HealthWeekly|3200.0
474|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|540.0|2024-04-08|15:26|TechNews|2700.0
475|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1944|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|589.0|2024-04-08|11:46|FinanceDaily|4800.0
476|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|367.0|2024-01-77|10:58|CryptoTimes|3700.0
477|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1943|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
478|Die nächsten Trends im Sportbereich 1943|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
479|Die Rolle der künstlichen Intelligenz in der Gesundheit 1943|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|481.0|2024-01-78|09:46|HealthWeekly|3400.0
